source_table,source_column,expression,target_column,target_table,file
priority_table,customer_id,customer_id,customer_id,,complex_tests/test_ambiguous_columns.sql
standard_table,customer_id,customer_id,customer_id,,complex_tests/test_ambiguous_columns.sql
customer_data,order_total,order_total,order_total,,complex_tests/test_ambiguous_columns.sql
priority_table,priority_note,priority_note~special_note,special_note,,complex_tests/test_ambiguous_columns.sql
standard_table,standard_note,standard_note~special_note,special_note,,complex_tests/test_ambiguous_columns.sql
raw_data,raw_id,raw_id~derived_id~l1.derived_id~derived_id~final_id,final_id,,complex_tests/test_cte_calling_cte.sql
raw_data,raw_name,raw_name~derived_name~l1.derived_name~derived_name~final_name,final_name,,complex_tests/test_cte_calling_cte.sql
processing_table,processed_value,processed_value~enriched_value~enriched_value~final_value,final_value,,complex_tests/test_cte_calling_cte.sql
source_table,original_id,original_id~level1_id~level2_id~level3_id~final_id,final_id,,complex_tests/test_deep_nesting.sql
source_table,original_name,original_name~level1_name~level2_name~level3_name~final_name,final_name,,complex_tests/test_deep_nesting.sql
users_table,user_id,user_id~u.user_id,user_id,,complex_tests/test_mixed_cte_subquery.sql
users_table,user_name,user_name~u.user_name,user_name,,complex_tests/test_mixed_cte_subquery.sql
profile_table,profile_data,profile_data~p.profile_data,profile_data,,complex_tests/test_mixed_cte_subquery.sql
special_table,important_data,important_data~s.special_field,special_field,,complex_tests/test_mixed_cte_subquery.sql
raw_table,id,id~f.id~id,id,,complex_tests/test_nested_ctes.sql
raw_table,name,name~f.name~name,name,,complex_tests/test_nested_ctes.sql
detail_table,extra_info,extra_info~d.extra_info~extra_info,extra_info,,complex_tests/test_nested_ctes.sql
base_table,base_col1,base_col1,base_col1,,complex_tests/test_star_vs_explicit.sql
base_table,base_col2,base_col2,base_col2,,complex_tests/test_star_vs_explicit.sql
other_table,specific_col,specific_col,specific_col,,complex_tests/test_star_vs_explicit.sql
conflict_table,conflict_col,conflict_col,conflict_col,,complex_tests/test_star_vs_explicit.sql
